Country,Total population,% Catholic,Catholic total
Hungary ( details ),9877000,"37.2% –53.0% -56% -62%. [https://ec.europa.eu/commfrontoffice/publicopinion/index.cfm/Survey/getSurveyDetail/instruments/SPECIAL/surveyKy/2251 Special Eurobarometer 493, European Union: European Commission, September 2019, pages 229-230] Retrieved 17 January 2020. The question asked was ""Do you consider yourself to be...?"" With a card showing: Catholic, Orthodox Christian, Protestant, Other Christian, Jewish, Muslim - Shia, Muslim - Sunni, Other Muslim, Sikh, Buddhist, Hindu, Atheist, Non believer/Agnostic and Other. Also space was given for Refusal (SPONTANEOUS) and Don't Know. Jewish, Sikh, Buddhist and Hindu did not reach the 1% threshold.",3674244
Iceland ( details ),355277,3.9%,13799
India ( details ),1280000000,"0.9% –1.5% James Roberts and Ellen Teague, ""Covid-19 fuels Dalit bias,"" TABLET, 2 May 2020, 24. country sc3 Statistics by Country 21 January 2015","11,520,000–19,900,000 [http://news.bbc.co.uk/2/hi/4243727.stm Factfile: Catholics around the world] on BBC news."
Indonesia ( details ),255000000,2.9%,7395000
Iran ( details ),68017860,0.02%,13603
Iraq ( details ),38000000,0.35%,133000
Ireland ( details ),4762000,78.3%,3729000
Israel ( details ),7746000,1.2%,92952
Italy ( details ),60800000,74% -75% -76.5% -78.9% -81.7%,"42,000,000 - 50,000,000"
Jamaica ( details ),2889000,2%,57780
Japan ( details ),127417244,0.3%- 0.5% [http://www.catholic-hierarchy.org/country/sc1.html Catholic Hierarchy Directory],382251
Jordan ( details ),5759732,0.4%,23038
Kazakhstan ( details ),15185844,0.6%,91115
Kenya ( details ),43500000,22.1%,9613500
Kiribati ( details ),98000,55.8% -57.3%,54684
"Korea, North ( details )",22912177,0.01%,2291
"Korea, South ( details )",52950306,11.0%,5813770
Kosovo ( details ),1920079,3.4%,65000
Kuwait ( details ),2335648,6.1%,142474
Kyrgyzstan ( details ),5146281,0.1%,5146
Laos ( details ),6217141,0.6%,37302
Latvia ( details ),2290237,19.1%,437435
Lebanon ( details ),4800000,28.8%,1382400
Lesotho ( details ),2067000,45.7% -49.4%,"946,000-1,052,237"
Liberia ( details ),3482211,5.4%,188039
Libya ( details ),5765563,0.7%,40358
Liechtenstein ( details ),33863,75.9% -81.7%,25803
Lithuania ( details ),2944459,77.2% . 2013-03-15. -83%,2311722
Luxembourg ( details ),538000,63.8% -65.9%,369600
Madagascar ( details ),18040341,29.5% -38.1%,"5,318,293-7,890,000"
Malawi ( details ),12158924,28.4%,3449487
Malaysia ( details ),23953136,3.3%,1290453
Maldives ( details ),349106,0.02%,80
Mali ( details ),12291529,1.5%,189289
Malta ( details ),428000,84.4% -93%,361372
Marshall Islands ( details ),62000,8.4%,5208
Mauritania ( details ),3086859,0.1%,3086
Mauritius ( details ),1230602,23.6%,289314
Mexico ( details ),126500000,80% -81% -82.7% -84.9%,100000000
Moldova ( details ),4455421,0.5%,20494
Monaco ( details ),36371,82.3%,29933
Mongolia ( details ),2791272,0.04%,1116
Montenegro ( details ),625266,3.4%,21299
Morocco ( details ),32725847,0.07%,22908
Mozambique ( details ),19406703,27.2% -28.4% -30.5%,4618795
Myanmar ( details ),42909464,1.1%,450549
Namibia ( details ),2030692,16.9%,344202
Nepal ( details ),27676547,0.03%,8302
Netherlands ( details ),16970000,23.3%,3943000
New Zealand ( details ),4700000,10.0%,470000
Nicaragua ( details ),6000000,40% -50% -55% [http://www.prolades.com/ The Latin American Socio-Religious Studies Program / Programa Latinoamericano de Estudios Sociorreligiosos (PROLADES)] PROLADES Religion in America by country,"2,400,000-3,000,000"
Niger ( details ),11665937,0.1%,11665
Nigeria ( details ),190000000,12.6%,23940000
North Macedonia ( details ),2038514,1%,20452
Norway ( details ),5060000,2.4% -3.02% [https://www.ssb.no/en/kultur-og-fritid/statistikker/trosamf/aar/2019-12-03?fane=tabell&sort=nummer&tabell=405229 Members of Christian communities outside the Church of Norway.] Statistics Norway 3.12.2019,120900
Oman ( details ),3000000,4.1%,110000
Pakistan ( details ),207000000,0.8%,1656000
Palau ( details ),19949,41.6%,8299
Palestine ( details ),3761904,2%,80000
Panama ( details ),3500000,55% -63% -70%,"1,925,000 - 2,400,000"
Papua New Guinea ( details ),7000000,26%,1890000
Paraguay ( details ),6800000,"88.3% [https://www.statista.com/statistics/1067159/paraguay-religion-affiliation-share-type// Religion affiliation in Paraguay as of 2018. Based on Latinobarómetro.] Survey period: June 15 to August 2, 2018, 1,200 respondents. -89%",6000000
Peru ( details ),31150000,74% -76%,23674000
Philippines ( details ),105000000,"80.6% -81.4% -82.9% [http://www.pewforum.org/2012/07/19/asian-americans-a-mosaic-of-faiths-overview/ Asian Americans: A Mosaic of Faiths] , Pew Research . July 19, 2012. -86% [https://asiasociety.org/education/religion-philippines Religion in the Philippines]",85470000
Poland ( details ),38496000,"85.8% pl en -87.5% GUS, [http://stat.gov.pl/download/cps/rde/xbcr/gus/LUD_ludnosc_stan_str_dem_spo_NSP2011.pdf Narodowy Spis Powszechny Ludnosci 2011: 4.4. Przynależność wyznaniowa (National Survey 2011: 4.4 Membership in faith communities)] p. 99/337 (PDF file, direct download 3.3 MB). 978-83-7027-521-1 Retrieved 27 December 2014. -92.9%",33000000
Portugal ( details ),10500000,81.0% –85% [https://www.portugalproperty.com/guide-to-portugal/living-in-portugal/religion/ Religion in Portugal] -88.0%,"8,600,000–9,240,000"
Qatar ( details ),863051,5.8%,50000
Romania ( details ),22329977,4.7%,1787408
Russia ( details ),143420309,0.5%,717101
Rwanda ( details ),11000000,43.7% -49.5%,4807000
Saint Kitts and Nevis ( details ),51000,6.7%,3400
Saint Lucia ( details ),165600,61.3%,101500
Saint Vincent and the Grenadines ( details ),106000,7.5%,7950
Samoa ( details ),179000,19.6%,35084
San Marino ( details ),32500,90.5% -97%>,29412
São Tomé and Príncipe ( details ),163000,73.5%,119805
Saudi Arabia ( details ),26417599,2.5%-3.8% -7% [http://www.asianews.it/index.php?l=en&art=1436 asianews.com],"660,439-1,300,000"
Senegal ( details ),11126832,3.5%,389439
Serbia ( details ),7120600,6.1%,433167
Seychelles ( details ),93000,76.2%,70866
Sierra Leone ( details ),6017643,2.9%,174511
Singapore ( details ),4425720,4.8% -6.7% Statistics Singapore: [http://www.singstat.gov.sg/publications/publications-and-papers/GHS/ghs2015content 2015 General Household Survey] . [http://www.singstat.gov.sg/docs/default-source/default-document-library/publications/publications_and_papers/GHS/ghs2015/excel/t43-48.xls Religion data] -7.1%,165964
Slovakia ( details ),5397036,62%,3347277
Slovenia ( details ),2088908,72.7%,1513756
Solomon Islands ( details ),523000,19%,100000
Somalia ( details ),8591629,0.001%,100
South Africa ( details ),44344136,7.1%,2851327
South Sudan ( details ),10000000,39.7%,3950000
Spain ( details ),46700000,"66.0% -67% [http://datos.cis.es/pdf/Es3273marMT_A.pdf Centro de Investigaciones Sociológicas: Barómetro de Febrero 2020, página 27.] ¿Cómo se define Ud. en materia religiosa: católico/a practicante, católico/a no practicante, creyente de otra religión, agnóstico/a, indiferente o no creyente, o ateo/a? -68% -68.9% -70%","32,364,000 [https://aleteia.org/2019/01/18/the-top-10-most-catholic-countries-in-the-world/ The top 10 most Catholic countries in the world]"
Sri Lanka ( details ),20264000,6.1% [http://www.statistics.gov.lk/PopHouSat/CPH2011/Pages/Activities/Reports/cph2011Pub/pop43.pdf Census 2011] retrieved 12. March 2014,1237000
Sudan ( details ),31000000,1%,300000
Suriname ( details ),551000,21.6%,119000
Swaziland ( details ),1100000,4.9%,62803
Sweden ( details ),10000000,1.8%,180000
Switzerland ( details ),8500000,35.2% [https://kirchenstatistik.spi-sg.ch/religionslandschaft-schweiz/] -35.9% -36.5%,3000000
Syria ( details ),18448752,2.1%,368975
Taiwan ( details ),22894384,1.3%,297626
Tajikistan ( details ),7163506,0.01%,"<1,000"
Tanzania ( details ),44929002,27.2%,12220689
Thailand ( details ),69000000,0.3% -0.58%,388468
Togo ( details ),5681519,26.4%,1499921
Tonga ( details ),102000,15.6%,15912
Trinidad and Tobago ( details ),1330000,21.6% http://cso.planning.gov.tt/sites/default/files/content/images/census/TRINIDAD%20AND%20TOBAGO%202011%20Demographic%20Report.pdf Trinidad Census 2011 Page 18,286000
Tunisia ( details ),11000000,0.2%,22000
Turkey ( details ),77700000,0.05%,35000
Turkmenistan ( details ),4750000,0.01%,500
Tuvalu ( details ),10000,1%,100
Uganda ( details ),42000000,39.3%,16500000
Ukraine ( details ),43000000,"5.6% -10% Pew Research Center, 12/19/18, 5 facts about Catholics in Europe Razumkov Center, 26 May 2016 pp 22,29.","2,408,000-4,300,000"
United Arab Emirates ( details ),2563212,5%,128160
United Kingdom ( details ),63100000,"9% [http://www.prct.org.uk/downloads/research/18-table-1-2011-2012-statistics-of-rc-population-fourth-draft-1/file Table 1 2011 2012 statistics of RC population fourth draft by the Pastoral Research Centre Trust, an independent research organization] [http://www.scotlandscensus.gov.uk/documents/censusresults/release2a/rel2asbtable7.pdf Table 7 - Religion, Scotland, 2001 and 2011 by the Scottish Census2011]",5700000
United States ( details ),330000000,"20% ""In US, Decline of Christianity Continues at Rapid Pace,"" Pew Research Center, Oct. 17, 2019 -22% ABC News/Washington Post poll (Langer Research Associates), Allison de Jong, May 10, 2018 -22% according to 4/18/2019 news.gallup.com./poll/238837/ ""church-membership-down-sharply-past-two-decades.aspx -23%","66,000,000-72,600,000"
Uruguay ( details ),3500000,38% -41% -42% -47.1%,1330000
Uzbekistan ( details ),26851195,0.01%,2685
Vatican City ( details ),842,100%,842
Vanuatu ( details ),243304,13.1%,36500
Venezuela ( details ),32000000,67% -71% -73%,"21,440,000 -23,360,000"
Vietnam ( details ),90000000,"6.9% Home Office: [https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/389940/CIG.Vietnam.Religious_Minority_Groups.v1.0.pdf Country Information and Guidance — Vietnam: Religious minority groups] . December 2014. Quoting United Nations' [http://www.ohchr.org/EN/NewsEvents/Pages/DisplayNews.aspx?NewsID=14914&LangID=E ""Press Statement on the visit to the Socialist Republic of Viet Nam by the Special Rapporteur on freedom of religion or belief""] . Hanoi, Viet Nam 31 July 2014. [http://www.ohchr.org/Documents/Issues/Religion/StatementVietnameseVersion31July2014.pdf Vietnamese] . Quote, p. 8: ""[...] According to the official statistics presented by the Government, the overall number of followers of recognized religions is about 24 million out of a population of almost 90 million. Formally recognized religious communities include 11 million Buddhists, 6.2 million Catholics, 1.4 million Protestants, 4.4 million Cao Dai followers, 1.3 million Hoa Hao Buddhists as well as 75,000 Muslims, 7000 Baha’ís, 1500 Hindus and others. The official number of places of worship comprises 26,387 pagodas, temples, churches and other religious facilities. [...] While the majority of Vietnamese do not belong to one of the officially recognized religious communities, they may nonetheless – occasionally or regularly – practise certain traditional rituals, usually referred to in Viet Nam under the term ""belief"". Many of those traditional rituals express veneration of ancestors. [...]""",6200000
Western Sahara ( details ),273008,0.06%,163
Yemen ( details ),20727063,0.02%,4145
Zambia ( details ),14300000,21%,3003000
Zimbabwe ( details ),12746990,7.71%,982792
Total,7093798000,17.68%,1253926000
